Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants
Theaceae,Camellia,Camellia sinensis,Tea
Arecaceae,Elaeis,Elaeis guineensis,Oil Palm
Solanaceae,Nicotiana,Nicotiana tabacum,Tobacco
Poaceae,Saccharum,Saccharum officinarum,Sugar cane
Solanaceae,Solanum,Solanum lycopersicum,Tomato
Solanaceae,Solanum,Solanum tuberosum,Potato
Poaceae,Triticum,Triticum aestivum,Bread wheat
Vitaceae,Vitis,Vitis vinifera,Grape
Poaceae,Zea,Zea mays,Maize
Rutaceae,Citrus,Citrus limon,Citrus
Malvaceae,Gossypium,Gossypium hirsutum,Cotton
Poaceae,Poa,Poa pratensis,Smooth meadow grass
Poaceae,Oryza,Oryza sativa,Rice
Rosaceae,Rosa,Rosa rugosa,Rose
Pinaceae,Pinus,Pinus strobus,Pines
Musaceae,Musa,Musa acuminata,Banana
Fagaceae,Quercus,Quercus rubra,Oak
Oleaceae,Olea,Olea europaea,Olive
Brassicaceae,Arabidopsis,Arabidopsis thaliana,Thale cress (arabidopsis)
Moraceae,Ficus,Hevea brasiliensis,Rubber
Poaceae,Hordeum,Hordeum vulgare,Barley
Rosaceae,Malus,Malus pumila,Apple
Amaranthaceae,Beta,Beta vulgaris,Beets
Malvaceae,Theobroma,Theobroma cacao,Cocoa
Asteraceae,Helianthus,Helianthus annuus,Sunflower
Apiaceae,Daucus,Daucus carota,Carrot
Brassicaceae,Brassica,Brassica oleracea,Brassicas
Cannabaceae,Cannabis,Cannabis sativa,Cannabis
Rubiaceae,Coffea,Coffea arabica,Coffee
Liliaceae,Tulipa,Tulipa gesneria,Tulip
Papaveraceae,Papaver,Papaver somniferum,Opium poppy
Fabaceae,Glycine,Glycine max,Soya
Piperaceae,Piper,Piper nigrum,Pepper
Moraceae,Morus,Morus alba,White mulberry
Fabaceae,Phaseolus,Phaseolus vulgaris,Broad bean
Asparagales,Allium,Allium cepa,Alliums
Solanaceae,Capsicum,Capsicum annuum,Chilli
Arecaceae,Cocos,Cocos nucifera,Coconut
Rubiaceae,Cinchona,Cinchona officinalis,Guinine (quinine)
Cyperaceae,Cyperus,Cyperus papyrus,Papyrus
Poaceae,Phragmites,Phragmites australis,Reeds
Fabaceae,Pisum,Pisum sativum,Peas
Myristicaceae,Myristica,Myristica fragrans,Nutmeg
Caryophyllaceae,Agrostemma,Agrostemma githago,Corncockle
Brassicaceae,Isatis,Isatis tinctoria,Woad
Asteraceae,Senecio,Senecio jacobea,Ragwort
Solanaceae,Mandragora,Mandragora officinarum,Mandrake
Taxaceae,Taxus,Taxus baccata,Yew
Lycopodiaceae,Lycopodium,Lycopodium dendroidium,Lycopods
